,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.2,0.0,0.0
1,2.0,-9.1,2.603,4.354
2,3.0,-9.0,1.482,1.934
3,4.0,-8.7,3.477,8.76
4,5.0,-8.6,4.481,6.214
5,6.0,-8.6,3.101,4.772
6,7.0,-8.5,3.247,4.968
7,8.0,-8.4,3.972,5.686
8,9.0,-8.4,3.702,8.585
