buffer,,bm3,,bm3+NADPH_10mg_ml_2ul,,bm3+NADPH_10mg_ml_4ul,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9915161,8.038336819E-005,799.9915161,0.00120552443,799.9915161,0.00013781288,799.9915161,0.0005145553732,
798.9864502,0.001051257947,798.9864502,0.002064724453,798.9864502,0.0008263409254,798.9864502,0.001558280084,
798.0155029,3.339418254E-005,798.0155029,0.002607071307,798.0155029,-0.001210912596,798.0155029,0.0002000669483,
797.0095825,-0.0002929820912,797.0095825,0.00162661029,797.0095825,0.0006973840063,797.0095825,0.001451883116,
796.0031738,-2.950990392E-006,796.0031738,0.004668557551,796.0031738,0.0007490348071,796.0031738,0.001172377495,
794.99646,0.0001357672299,794.99646,0.003495667595,794.99646,0.0003530209651,794.99646,0.0008884862764,
793.9892578,-7.262995496E-005,793.9892578,0.002098381752,793.9892578,-0.001048564445,793.9892578,0.0006484873593,
793.0164795,-0.0002706311061,793.0164795,0.002718779026,793.0164795,-0.000820379355,793.0164795,0.001332840766,
792.0084839,-0.0002420698729,792.0084839,0.001397837419,792.0084839,5.350959327E-005,792.0084839,-0.0003115035361,
791.0001831,0.0007406333461,791.0001831,0.00510063814,791.0001831,0.0008437179495,791.0001831,0.001914546592,
789.991394,0.0004774442932,789.991394,0.003881342709,789.991394,-3.634237873E-005,789.991394,0.001895774738,
789.0170898,-0.0002826345444,789.0170898,0.001990188146,789.0170898,0.0008583981544,789.0170898,0.0007518612547,
788.0075073,0.000613983022,788.0075073,0.006244523916,788.0075073,-0.0001308597421,788.0075073,0.0006195823662,
786.9974976,0.0006531538093,786.9974976,0.0005204125773,786.9974976,0.0008519138792,786.9974976,0.001942159724,
785.9871826,-0.0007553166361,785.9871826,0.002723337617,785.9871826,-0.001068912912,785.9871826,0.001222449355,
785.0112915,0.0005464340211,785.0112915,0.003164176829,785.0112915,0.0009390183841,785.0112915,0.001757454942,
784.0002441,0.0003187991388,784.0002441,0.002036531223,784.0002441,0.0009040759178,784.0002441,0.001618607552,
