blank,,saharas_BM3WTHeme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
702.9627075,0.0002056091325,702.9627075,0.00150868902,
701.956665,-0.0005180315347,701.956665,0.001352938591,
700.9503174,-0.0001248559565,700.9503174,0.00200269674,
699.9436035,-0.001610482694,699.9436035,0.0002048839815,
698.9365845,-0.0004436141753,698.9365845,0.001525469823,
697.9292603,0.0002003518312,697.9292603,0.003451542929,
697.0655518,0.0001973994804,697.0655518,0.002790705068,
696.0575562,2.741410572E-5,696.0575562,0.002763506724,
695.0492554,-0.0006839379785,695.0492554,0.001418119995,
694.0406494,0.0001046436882,694.0406494,0.001881449367,
693.0316772,0.0003415443061,693.0316772,0.002860506298,
692.0223999,-0.0001745916379,692.0223999,0.001908072503,
691.0128174,-0.000187994985,691.0128174,0.001881501405,
690.0028687,-0.0007475642487,690.0028687,0.001334814122,
688.9926147,0.0001491805742,688.9926147,0.001433287049,
687.9819946,0.0002517622197,687.9819946,0.00270119682,
686.9711304,0.001034936518,686.9711304,0.002743994817,
685.9598389,-0.0003788053291,685.9598389,0.002794717206,
684.9483032,-2.220959323E-5,684.9483032,0.001929522958,
683.9364624,0.0001967002463,683.9364624,0.002764548874,
683.0688477,-0.0004375629942,683.0688477,0.001167108421,
682.0563965,0.0003054064582,682.0563965,0.002118359087,
681.0435791,-0.0002233902196,681.0435791,0.001932721119,
680.0304565,-0.0002255117724,680.0304565,0.002637098543,
679.0170288,0.0004215245135,679.0170288,0.002801517025,
678.0032349,-0.000812214741,678.0032349,0.002437910531,
676.9891357,-0.001114306273,676.9891357,0.002354773227,
675.9747314,-0.00033028287,675.9747314,0.001993282698,
674.960022,0.0001584510319,674.960022,0.003122380236,
673.9450073,0.0003873232054,673.9450073,0.002746104961,
672.9296265,-5.6272449E-5,672.9296265,0.001795351389,
672.059082,-1.920696377E-5,672.059082,0.002570770448,
671.0431519,-0.0002035195648,671.0431519,0.001933007152,
670.0268555,-1.12861353E-5,670.0268555,0.00170646375,
669.0103149,-0.000941538543,669.0103149,0.001825816464,
667.9934082,-0.001255310257,667.9934082,0.0004974248004,
666.9761963,-0.0002832554164,666.9761963,0.002262362279,
665.9586792,0.0007610926987,665.9586792,0.002696351847,
664.9407959,-0.0004488377599,664.9407959,0.002607722301,
664.0681152,-0.000818467408,664.0681152,0.00126035104,
663.0497437,0.0008841285598,663.0497437,0.002768091857,
662.0310059,-0.0003169873962,662.0310059,0.0027294592,
661.0119629,-0.0003645802208,661.0119629,0.002437832532,
659.9925537,-1.035437549E-6,659.9925537,0.002960316138,
658.9729004,-2.003527698E-5,658.9729004,0.003199379891,
657.9529419,-0.0005720136687,657.9529419,0.002811964601,
656.9326172,0.0004801134928,656.9326172,0.002754597226,
656.0578613,-0.0008591849473,656.0578613,0.002193593886,
655.0369873,6.314046914E-5,655.0369873,0.00311312452,
654.0158081,0.0002620450396,654.0158081,0.002655668184,
652.9943237,-0.0002264431823,652.9943237,0.003139536362,
651.9725342,0.0006888539065,651.9725342,0.002820328111,
650.9504395,0.0001244516752,650.9504395,0.003590481821,
649.9280396,0.000484130258,649.9280396,0.003487134585,
649.0514526,0.0002598175197,649.0514526,0.003253937,
648.0284424,-0.0002024846035,648.0284424,0.002744828351,
647.005188,-5.575479736E-5,647.005188,0.002819025423,
645.9815674,-0.000533544342,645.9815674,0.00225281273,
644.9577026,-0.001385947107,644.9577026,0.002064958448,
643.9334717,-0.001682689064,643.9334717,0.001592365908,
643.0553589,-0.001303368132,643.0553589,0.002973373979,
642.0306396,-0.0001242348808,642.0306396,0.00350409653,
641.0055542,-0.0001645518059,641.0055542,0.002776141744,
639.9801636,-0.0001821472397,639.9801636,0.002465088386,
638.9545288,-0.0002055377117,638.9545288,0.003582495032,
637.9285278,-7.662179087E-6,637.9285278,0.0029791079,
637.0488892,-0.0001757301652,637.0488892,0.003014660906,
636.0223999,-0.0002850145102,636.0223999,0.003085619071,
634.9955444,-0.0004784714256,634.9955444,0.002307797549,
633.9684448,0.0009271370945,633.9684448,0.003906599712,
632.940979,-0.001274513314,632.940979,0.001914104563,
632.0601196,0.0003289280867,632.0601196,0.003461014712,
631.0321045,0.0001645882876,631.0321045,0.002917444566,
630.0038452,2.184830737E-5,630.0038452,0.003661795054,
628.9752808,-4.990528032E-5,628.9752808,0.003353446256,
627.9464111,0.0005452417536,627.9464111,0.003031421918,
627.06427,-0.001083373209,627.06427,0.002999047516,
626.0348511,0.000363098894,626.0348511,0.002756134374,
625.005127,-0.0007384679629,625.005127,0.002761787269,
623.9750977,0.0007295353571,623.9750977,0.003796387929,
622.9448242,-0.0006918982253,622.9448242,0.003674821695,
622.0614624,-0.0001251147478,622.0614624,0.002656058874,
621.0306396,0.0006177677424,621.0306396,0.002858994994,
619.9994507,0.0004522043455,619.9994507,0.003661821131,
618.9680176,-0.0003548551467,618.9680176,0.00305928872,
617.9362793,-0.001391985104,617.9362793,0.001953418832,
617.0517578,-0.0007199647371,617.0517578,0.003136902815,
616.0194702,0.0005034631467,616.0194702,0.003076520516,
614.9868774,-1.247685759E-5,614.9868774,0.002803861862,
613.9540405,-0.0008422370302,613.9540405,0.00308624492,
613.0685425,-0.0006024661125,613.0685425,0.002205874072,
612.0351563,-0.0007046136307,612.0351563,0.003031891072,
611.0014648,-0.0004076162004,611.0014648,0.002841016045,
609.9674683,0.0006512094405,609.9674683,0.004058252089,
608.9332275,0.0003062094911,608.9332275,0.00402232632,
608.0465088,-0.0004563368857,608.0465088,0.002873717342,
607.0117188,0.0001286723273,607.0117188,0.003966679797,
605.9766235,-0.0002513317741,605.9766235,0.003645949531,
604.9412842,0.0001295009133,604.9412842,0.003836238757,
604.0535889,0.0009588125977,604.0535889,0.004659923259,
603.0177002,0.0002761616488,603.0177002,0.003502817824,
601.9815674,-9.700977535E-5,601.9815674,0.004039884079,
600.9450684,-0.0003078303707,600.9450684,0.00494801905,
600.0564575,0.000751264859,600.0564575,0.003698161105,
599.0194702,-0.0001966370619,599.0194702,0.003830101574,
597.9822388,-0.0002189400984,597.9822388,0.00436945539,
596.9446411,-0.0008682787302,596.9446411,0.003568426939,
596.0551147,-0.0001075687615,596.0551147,0.003973471932,
595.0170288,-0.000458715891,595.0170288,0.003663022071,
593.9786987,-8.753751899E-5,593.9786987,0.003874081885,
592.9400635,0.0003629952844,592.9400635,0.005460426211,
592.0495605,0.0006360177649,592.0495605,0.005054621492,
591.010437,-0.0002347222908,591.010437,0.004533485044,
589.9710083,-0.0004916068283,589.9710083,0.004718432203,
588.9312744,-0.00017955972,588.9312744,0.005517077632,
588.039917,0.0004782476462,588.039917,0.005999447778,
586.9996948,-0.0006973255659,586.9996948,0.005633207504,
585.9591675,0.001184524968,585.9591675,0.006333163474,
585.0670776,0.0005393842002,585.0670776,0.006808947772,
584.026062,0.0003319849784,584.026062,0.006377634127,
582.9848022,5.472638441E-5,582.9848022,0.006670210976,
581.9432373,0.0006859241985,581.9432373,0.009333492257,
581.0502319,-0.0003586831444,581.0502319,0.007374158129,
580.0081787,0.001041034353,580.0081787,0.007762345951,
578.9658203,-0.000286877068,578.9658203,0.008211946115,
578.0721436,-0.0004277361149,578.0721436,0.008029566146,
