buffer only,,bm3 dm 1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9915161,-0.0003807709436,799.9915161,0.0007394665154,
798.9864502,0.0004599782987,798.9864502,0.00111413619,
798.0155029,-5.673833584E-005,798.0155029,0.0009250877192,
797.0095825,-0.0002698032768,797.0095825,0.0007937674527,
796.0031738,-0.0002323938097,796.0031738,0.001404927112,
794.99646,-0.0004358045117,794.99646,0.0009176426684,
793.9892578,-0.0002914817014,793.9892578,0.000764645345,
793.0164795,-0.0002153178648,793.0164795,0.0007073662127,
792.0084839,-0.0002568163909,792.0084839,0.0008025330026,
791.0001831,9.356196824E-005,791.0001831,0.001025725156,
789.991394,-0.0006223185337,789.991394,0.000421317236,
789.0170898,-0.000138778385,789.0170898,0.0007136408822,
788.0075073,-3.908605504E-005,788.0075073,0.001246929285,
786.9974976,-0.0001329299848,786.9974976,0.001021469827,
785.9871826,-0.0002081768325,785.9871826,0.0006604387891,
785.0112915,-0.0007252366631,785.0112915,0.0008439513622,
784.0002441,-3.157973333E-005,784.0002441,0.00101783732,
782.9886475,-0.0002595069527,782.9886475,0.0008118952392,
782.0115967,-0.0002334286837,782.0115967,0.0007126037381,
780.9993286,-0.000285894057,780.9993286,0.0006282666,
779.9866943,-0.0002214238921,779.9866943,0.001101160189,
779.0084839,-2.32967468E-005,779.0084839,0.0007146002608,
777.9949951,0.0004009515978,777.9949951,0.001445675618,
777.0160522,-4.540161535E-005,777.0160522,0.00141178316,
776.0018921,-0.000379374309,776.0018921,0.0009905162733,
774.9871826,-0.0003787536116,774.9871826,0.0009963021148,
774.0071411,0.0003952514671,774.0071411,0.001682867412,
772.9916992,0.0002089500194,772.9916992,0.001602160861,
772.0109863,0.0001911322761,772.0109863,0.001619906747,
770.994812,-0.0006267645513,770.994812,0.0007653195644,
770.0132446,-0.0001274438109,770.0132446,0.001054008491,
768.9963379,-0.0001229409536,768.9963379,0.001070823753,
768.0140381,-6.005129399E-005,768.0140381,0.001279822434,
766.9963379,-0.0006397920661,766.9963379,0.0008857367793,
766.0133667,-0.0002505556622,766.0133667,0.0008602396701,
764.994873,-9.405942546E-005,764.994873,0.001192026539,
764.0111084,0.0001715802064,764.0111084,0.00136337732,
762.9918823,0.0002802024246,762.9918823,0.001508273417,
762.0073853,0.0004244006705,762.0073853,0.001504532876,
760.9873657,-0.0003004838945,760.9873657,0.001227978617,
760.0022583,0.0002021387918,760.0022583,0.001445753616,
759.0166626,0.0001237784454,759.0166626,0.001415341161,
757.9954834,0.0004205917066,757.9954834,0.001533263014,
757.0092163,-0.0002209581726,757.0092163,0.001466791611,
755.9873657,1.604959652E-005,755.9873657,0.00104453729,
755.0003052,-0.0001102084716,755.0003052,0.001343175187,
754.0128784,-1.050957599E-005,754.0128784,0.00128231477,
752.9899292,0.000276109844,752.9899292,0.001636276138,
752.00177,6.795598165E-005,752.00177,0.001439546235,
751.0133667,-9.012559167E-005,751.0133667,0.0009456855478,
749.9891968,-4.431451816E-005,749.9891968,0.001471960451,
749,4.861656998E-005,749,0.001685699914,
748.010437,-0.0001019787378,748.010437,0.001434611622,
746.9852295,0.0001537380886,746.9852295,0.001618659589,
745.9949951,-2.837009379E-005,745.9949951,0.001366908895,
745.0043945,1.384921416E-005,745.0043945,0.001419574372,
744.0134277,3.58276593E-005,744.0134277,0.001676760614,
742.9867554,-0.0002957758843,742.9867554,0.001356989378,
741.9950562,5.296591917E-005,741.9950562,0.001684010727,
741.0029907,0.000195327666,741.0029907,0.0016010697,
740.0106201,0.0001947838173,740.0106201,0.0017288659,
738.9824219,7.888170512E-005,738.9824219,0.001253341557,
737.9893799,2.987343396E-005,737.9893799,0.001655608416,
736.9959106,-0.0001195249497,736.9959106,0.001765356283,
736.0020752,-0.0004887625691,736.0020752,0.00146673969,
735.0079956,-7.589102461E-005,735.0079956,0.001468817587,
734.0135498,-9.224779205E-005,734.0135498,0.001436091959,
732.9831543,-0.0001375880092,732.9831543,0.001465778681,
731.9879761,0.0002201123862,731.9879761,0.001899700612,
730.9924927,-0.0001163677225,730.9924927,0.001293686568,
729.996582,-4.49357176E-005,729.996582,0.001326193684,
729.0003052,-0.0002781850344,729.0003052,0.001583142788,
728.0037842,-1.941404298E-005,728.0037842,0.001375166699,
727.0068359,-0.0001490258292,727.0068359,0.001247318694,
726.0096436,0.000114482842,726.0096436,0.001609669649,
725.0120239,-6.647007831E-005,725.0120239,0.001411030069,
724.0140991,7.422141061E-005,724.0140991,0.00166457321,
723.0157471,9.081746975E-005,723.0157471,0.001365870237,
722.0172119,0.0001310545485,722.0172119,0.001506662928,
720.9824829,-0.0001944636169,720.9824829,0.001366986777,
719.9832153,-6.051717719E-005,719.9832153,0.00137994485,
718.9835815,-0.0002235971915,718.9835815,0.001147901639,
717.9835815,-5.063000208E-005,717.9835815,0.001173908822,
716.9832153,-0.0002927751339,716.9832153,0.001216842211,
715.9825439,-0.0003087615769,715.9825439,0.001336294226,
715.0172729,-9.209250857E-005,715.0172729,0.001326894737,
714.0159302,-1.242508733E-005,714.0159302,0.001495155739,
713.0142822,-3.002762014E-006,713.0142822,0.001259805867,
712.012207,-6.346775626E-005,712.012207,0.001310251304,
711.0098267,-0.0001588590094,711.0098267,0.001272838563,
710.0072021,2.640376806E-006,710.0072021,0.001302098623,
709.0041504,-0.0001787834626,709.0041504,0.001137390267,
708.0007935,-8.903859998E-005,708.0007935,0.001142399386,
706.9970703,-8.64582762E-006,706.9970703,0.001321338234,
705.993103,-0.0001362423645,705.993103,0.001442870707,
704.9887085,-0.000179352719,704.9887085,0.001378230867,
