buffer only,,DM full,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9915161,-4.923231972E-005,799.9915161,0.001598679344,
798.9864502,-0.0007090587751,798.9864502,0.001642979914,
798.0155029,-0.0002822206588,798.0155029,0.002177307382,
797.0095825,1.703330054E-005,797.0095825,0.002216151217,
796.0031738,0.0002370248258,796.0031738,0.002518069465,
794.99646,-1.589369458E-005,794.99646,0.002154543996,
793.9892578,-0.0004192020861,793.9892578,0.001607253333,
793.0164795,0.000166634054,793.0164795,0.002347720088,
792.0084839,-9.452526865E-005,792.0084839,0.001892368775,
791.0001831,0.0006412803777,791.0001831,0.002696664538,
789.991394,0.0002025531576,789.991394,0.002052032156,
789.0170898,-2.847363248E-005,789.0170898,0.001857141615,
788.0075073,0.0001008634426,788.0075073,0.001599276904,
786.9974976,8.830601291E-005,786.9974976,0.002105847234,
785.9871826,-0.0008855873602,785.9871826,0.001510845032,
785.0112915,0.0001513816387,785.0112915,0.002210010774,
784.0002441,0.000241816364,784.0002441,0.002311779186,
782.9886475,-0.0004676628741,782.9886475,0.001695393003,
782.0115967,-0.0003523204068,782.0115967,0.001405004994,
780.9993286,-1.568661355E-005,780.9993286,0.001914338558,
779.9866943,7.794964768E-005,779.9866943,0.001800602069,
779.0084839,-5.17719343E-008,779.0084839,0.00149832468,
777.9949951,7.927006664E-005,777.9949951,0.002218362642,
777.0160522,0.0001093561004,777.0160522,0.001879213494,
776.0018921,-5.187238276E-005,776.0018921,0.002272146288,
774.9871826,0.0001069998907,774.9871826,0.001984987175,
774.0071411,-0.0004968815483,774.0071411,0.001811805414,
772.9916992,-0.0003220573126,772.9916992,0.002049613278,
772.0109863,-0.0002418111544,772.0109863,0.002138415119,
770.994812,-0.0003156940511,770.994812,0.002246931894,
770.0132446,-4.985351188E-005,770.0132446,0.001718678162,
768.9963379,-0.000102444581,768.9963379,0.002106419299,
768.0140381,-0.0002630253148,768.0140381,0.002200644463,
766.9963379,2.917446545E-005,766.9963379,0.002233011415,
766.0133667,-0.000258575601,766.0133667,0.002209698549,
764.994873,-0.0001718488202,764.994873,0.002494793385,
764.0111084,-0.0004031162534,764.0111084,0.001708308817,
762.9918823,1.397864798E-005,762.9918823,0.002071929164,
762.0073853,-7.915207971E-005,762.0073853,0.001987977652,
760.9873657,-0.0003826848115,760.9873657,0.001774271368,
760.0022583,5.638329822E-005,760.0022583,0.002544757677,
759.0166626,-3.587647006E-005,759.0166626,0.002484665951,
757.9954834,6.031472367E-006,757.9954834,0.002393867122,
757.0092163,0.0001528835564,757.0092163,0.002678145422,
755.9873657,-0.0001109848527,755.9873657,0.002182146534,
755.0003052,-1.692909245E-005,755.0003052,0.002185242483,
754.0128784,0.0003550417023,754.0128784,0.002736362163,
752.9899292,-9.007383051E-005,752.9899292,0.002339209663,
752.00177,-0.0001249594789,752.00177,0.002528640442,
751.0133667,0.0001393147395,751.0133667,0.002436973387,
749.9891968,0.0003933082335,749.9891968,0.0025904309,
749,-6.93688562E-005,749,0.002240192844,
748.010437,-0.0004424246144,748.010437,0.002492918866,
746.9852295,-3.484111585E-005,746.9852295,0.002485134639,
745.9949951,-0.0003280066303,745.9949951,0.002239412162,
745.0043945,1.692975275E-005,745.0043945,0.002470269101,
744.0134277,-0.0001144526686,744.0134277,0.002716330579,
742.9867554,0.0002289181721,742.9867554,0.002670461778,
741.9950562,-0.0001223716099,741.9950562,0.002197470283,
741.0029907,-0.0001535284246,741.0029907,0.002133134287,
740.0106201,-0.0001820437465,740.0106201,0.002275581239,
738.9824219,8.967825124E-005,738.9824219,0.00262441556,
737.9893799,0.0001766817877,737.9893799,0.002364247106,
736.9959106,3.375661618E-005,736.9959106,0.002662491985,
736.0020752,8.519907715E-005,736.0020752,0.002622826956,
735.0079956,7.743183232E-005,735.0079956,0.002740191529,
734.0135498,0.0001055240282,734.0135498,0.002634363947,
732.9831543,-6.113835116E-005,732.9831543,0.002247192198,
731.9879761,4.44484831E-005,731.9879761,0.002680202946,
730.9924927,-0.000234360079,730.9924927,0.002179076429,
729.996582,1.087212013E-006,729.996582,0.002454024507,
729.0003052,3.984033174E-005,729.0003052,0.002224243013,
728.0037842,-0.0002937063982,728.0037842,0.002231242135,
727.0068359,-3.375398956E-005,727.0068359,0.002498854883,
726.0096436,-3.80507081E-005,726.0096436,0.002439055825,
725.0120239,-0.0002111781505,725.0120239,0.002486670623,
724.0140991,-0.0001414696599,724.0140991,0.002451238921,
723.0157471,-0.000100167148,723.0157471,0.002340875333,
722.0172119,-0.0001174546414,722.0172119,0.002364325104,
720.9824829,-0.0001787834626,720.9824829,0.002405137988,
719.9832153,-2.981961188E-005,719.9832153,0.002650589449,
718.9835815,-3.830954302E-005,718.9835815,0.00258280104,
717.9835815,-0.0002101432183,717.9835815,0.002470711712,
716.9832153,3.02099761E-005,716.9832153,0.00231269002,
715.9825439,1.035451078E-005,715.9825439,0.002640666673,
715.0172729,-0.0002208029473,715.0172729,0.002425051061,
714.0159302,-0.0001310667576,714.0159302,0.002749152714,
713.0142822,-0.0002654053678,713.0142822,0.002525125397,
712.012207,-0.0001840619952,712.012207,0.002494767541,
711.0098267,9.685020632E-005,711.0098267,0.002637619385,
710.0072021,7.248131624E-006,710.0072021,0.002744541969,
709.0041504,3.173735604E-005,709.0041504,0.002653636737,
708.0007935,8.328314289E-005,708.0007935,0.002687808592,
706.9970703,-0.0003124347713,706.9970703,0.002400738886,
705.993103,1.183004861E-005,705.993103,0.002667570719,
704.9887085,-0.000303691515,704.9887085,0.002641083207,
703.9840088,-0.000229754849,703.9840088,0.002732793335,
703.0148926,-0.0003971162369,703.0148926,0.002492424333,
702.0095215,-0.0001024963422,702.0095215,0.002638530917,
701.0038452,-0.0001748504001,701.0038452,0.002568999771,
699.9978027,-0.000382633094,699.9978027,0.002576265018,
698.9914551,2.666262844E-006,698.9914551,0.002646135865,
697.9848022,2.09422542E-005,697.9848022,0.002747511491,
697.0137329,4.778812581E-005,697.0137329,0.002699972596,
696.0064697,-5.575479736E-005,696.0064697,0.002810661914,
694.9987793,4.434492803E-005,694.9987793,0.00257342658,
693.9908447,-0.0002579546999,693.9908447,0.00256931223,
692.9825439,-0.0001347414509,692.9825439,0.00267340499,
692.0098877,-0.0002158870775,692.0098877,0.00260842545,
691.0009155,7.287511835E-005,691.0009155,0.003127203556,
689.9916382,3.652663872E-005,689.9916382,0.002772442298,
688.9821167,6.464207399E-005,688.9821167,0.002931699855,
688.0081787,-6.92653266E-005,688.0081787,0.002689371351,
686.9979248,9.783409041E-005,686.9979248,0.002847321564,
685.9873657,0.0003698608489,685.9873657,0.002926539863,
685.0126343,-0.0002609039366,685.0126343,0.002970741363,
684.0014038,7.76579725E-007,684.0014038,0.002981245285,
682.9898682,0.0001980469242,682.9898682,0.002906447276,
682.0141602,-0.0002095222444,682.0141602,0.002920207102,
681.0020142,-3.924135672E-005,681.0020142,0.002982365899,
679.989502,3.875302355E-005,679.989502,0.002852116013,
679.0128784,-0.0002115921234,679.0128784,0.002695205854,
677.9997559,-0.0003001734731,677.9997559,0.002737847157,
676.9863281,0.0001605485595,676.9863281,0.002798468806,
676.0087891,0.0001568196167,676.0087891,0.002628374146,
674.9946899,3.7251506E-005,674.9946899,0.003021047218,
674.0166016,-9.87178646E-005,674.0166016,0.00292943255,
673.0018921,-8.665757923E-005,673.0018921,0.002921510022,
671.9868774,0.0001444159425,671.9868774,0.003248851281,
671.0078125,-0.0002896191727,671.0078125,0.00316232536,
669.9921875,-0.0001427635289,669.9921875,0.002896779217,
669.0124512,0.0004103310639,669.0124512,0.002939283848,
667.9962158,-0.0002693893621,667.9962158,0.003037078539,
