buffer only,,DM full,,buffer only,,dm full,,dm full 2,,dm full 3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
768.9963379,-0.000102444581,768.9963379,0.002106419299,768.9963379,0.0003593164147,768.9963379,0.008305923082,768.9963379,-0.0003946851648,768.9963379,0.0007374180132,
768.0140381,-0.0002630253148,768.0140381,0.002200644463,768.0140381,0.0003519846941,768.0140381,0.007733859587,768.0140381,-8.665757923E-005,768.0140381,0.0009014819516,
766.9963379,2.917446545E-005,766.9963379,0.002233011415,766.9963379,0.0004900647909,766.9963379,0.007746850606,766.9963379,-0.0002141794539,766.9963379,0.0009812280769,
766.0133667,-0.000258575601,766.0133667,0.002209698549,766.0133667,3.927078797E-005,766.0133667,0.008102140389,766.0133667,-0.0001332922839,766.0133667,0.00108545972,
764.994873,-0.0001718488202,764.994873,0.002494793385,764.994873,0.0001565606653,764.994873,0.008291833103,764.994873,-0.0001541494712,764.994873,0.001118807704,
764.0111084,-0.0004031162534,764.0111084,0.001708308817,764.0111084,0.0001375280408,764.0111084,0.007876126096,764.0111084,-0.0004027024552,764.0111084,0.0008691622061,
762.9918823,1.397864798E-005,762.9918823,0.002071929164,762.9918823,0.0003787473834,762.9918823,0.007831633091,762.9918823,-5.311475979E-005,762.9918823,0.001115719322,
762.0073853,-7.915207971E-005,762.0073853,0.001987977652,762.0073853,0.0002544818271,762.0073853,0.008024925366,762.0073853,-0.0002785472025,762.0073853,0.00082478486,
760.9873657,-0.0003826848115,760.9873657,0.001774271368,760.9873657,0.0001365958451,760.9873657,0.007960669696,760.9873657,-0.0004934684839,760.9873657,0.0006697720382,
760.0022583,5.638329822E-005,760.0022583,0.002544757677,760.0022583,8.745160449E-005,760.0022583,0.00819912646,760.0022583,0.0001823790517,760.0022583,0.0009686711128,
759.0166626,-3.587647006E-005,759.0166626,0.002484665951,759.0166626,-0.0001533731556,759.0166626,0.00821065437,759.0166626,-0.0002100914717,759.0166626,0.00134860212,
757.9954834,6.031472367E-006,757.9954834,0.002393867122,757.9954834,-1.418527881E-005,757.9954834,0.008237403817,757.9954834,-0.0004185814178,757.9954834,0.001175025012,
757.0092163,0.0001528835564,757.0092163,0.002678145422,757.0092163,-0.0004580952809,757.0092163,0.00774911698,757.0092163,0.0001516146876,757.0092163,0.001485544955,
755.9873657,-0.0001109848527,755.9873657,0.002182146534,755.9873657,0.000125772247,755.9873657,0.008008972742,755.9873657,-0.0002531427599,755.9873657,0.0007406074437,
755.0003052,-1.692909245E-005,755.0003052,0.002185242483,755.0003052,3.028763967E-005,755.0003052,0.008116039447,755.0003052,-0.0001777484576,755.0003052,0.001237635617,
754.0128784,0.0003550417023,754.0128784,0.002736362163,754.0128784,8.597580745E-005,754.0128784,0.007936730981,754.0128784,0.0002133786766,754.0128784,0.001279926277,
752.9899292,-9.007383051E-005,752.9899292,0.002339209663,752.9899292,0.0001816021395,752.9899292,0.008023027331,752.9899292,9.105049685E-005,752.9899292,0.001119560329,
752.00177,-0.0001249594789,752.00177,0.002528640442,752.00177,0.0001197132151,752.00177,0.007660320029,752.00177,-5.073620287E-006,752.00177,0.001426041126,
751.0133667,0.0001393147395,751.0133667,0.002436973387,751.0133667,0.0002498714603,751.0133667,0.007700842805,751.0133667,-7.061118231E-005,751.0133667,0.001424976275,
749.9891968,0.0003933082335,749.9891968,0.0025904309,749.9891968,0.0004873955331,749.9891968,0.008093067445,749.9891968,-6.434774696E-005,749.9891968,0.001048533362,
749,-6.93688562E-005,749,0.002240192844,749,6.44867323E-005,749,0.007640217897,749,0.0001081909359,749,0.0009085375932,
748.010437,-0.0004424246144,748.010437,0.002492918866,748.010437,5.350959327E-005,748.010437,0.007435167674,748.010437,-0.0002454331552,748.010437,0.001028709114,
746.9852295,-3.484111585E-005,746.9852295,0.002485134639,746.9852295,0.0003375547531,746.9852295,0.00776619371,746.9852295,-0.0001101049493,746.9852295,0.001274811686,
745.9949951,-0.0003280066303,745.9949951,0.002239412162,745.9949951,7.924417878E-005,745.9949951,0.007456919178,745.9949951,-0.000722187222,745.9949951,0.0009555437719,
745.0043945,1.692975275E-005,745.0043945,0.002470269101,745.0043945,0.0001057570553,745.0043945,0.007560978178,745.0043945,1.327970494E-005,745.0043945,0.00117562199,
744.0134277,-0.0001144526686,744.0134277,0.002716330579,744.0134277,7.054499292E-005,744.0134277,0.007427030709,744.0134277,-0.0002329112467,744.0134277,0.001013426459,
742.9867554,0.0002289181721,742.9867554,0.002670461778,742.9867554,0.0003126337833,742.9867554,0.007988643833,742.9867554,-0.0001115541963,742.9867554,0.001387891243,
741.9950562,-0.0001223716099,741.9950562,0.002197470283,741.9950562,0.0001642516436,741.9950562,0.007504007313,741.9950562,-0.0003293516929,741.9950562,0.0009239722858,
741.0029907,-0.0001535284246,741.0029907,0.002133134287,741.0029907,0.0001046178004,741.0029907,0.007536561228,741.0029907,-0.0002943272411,741.0029907,0.001003566897,
740.0106201,-0.0001820437465,740.0106201,0.002275581239,740.0106201,-4.079436985E-005,740.0106201,0.007396723144,740.0106201,-0.000388322951,740.0106201,0.001220320701,
738.9824219,8.967825124E-005,738.9824219,0.00262441556,738.9824219,4.372360127E-005,738.9824219,0.007478461135,738.9824219,-0.0003722359834,738.9824219,0.00106851419,
737.9893799,0.0001766817877,737.9893799,0.002364247106,737.9893799,0.0002505707962,737.9893799,0.007517254911,737.9893799,-1.651493403E-005,737.9893799,0.001158050029,
736.9959106,3.375661618E-005,736.9959106,0.002662491985,736.9959106,-8.132609946E-005,736.9959106,0.007119576447,736.9959106,0.0002051429765,736.9959106,0.001366026001,
736.0020752,8.519907715E-005,736.0020752,0.002622826956,736.0020752,0.0001674627274,736.0020752,0.007216922008,736.0020752,-4.519454887E-005,736.0020752,0.001434871345,
735.0079956,7.743183232E-005,735.0079956,0.002740191529,735.0079956,-9.700977535E-005,735.0079956,0.007225818466,735.0079956,-2.158836105E-005,735.0079956,0.001269437606,
734.0135498,0.0001055240282,734.0135498,0.002634363947,734.0135498,2.720700468E-005,734.0135498,0.007273776457,734.0135498,-0.0003006908228,734.0135498,0.001039503375,
732.9831543,-6.113835116E-005,732.9831543,0.002247192198,732.9831543,-0.0001259946148,732.9831543,0.007065583952,732.9831543,-0.0001440056512,732.9831543,0.001306149061,
731.9879761,4.44484831E-005,731.9879761,0.002680202946,731.9879761,5.79366606E-005,731.9879761,0.007374658715,731.9879761,-9.90284243E-005,731.9879761,0.001366727171,
730.9924927,-0.000234360079,730.9924927,0.002179076429,730.9924927,-5.125119424E-005,730.9924927,0.007436036598,730.9924927,-0.0001457653125,730.9924927,0.0007837832673,
729.996582,1.087212013E-006,729.996582,0.002454024507,729.996582,2.769886851E-005,729.996582,0.007372631226,729.996582,-1.558307304E-005,729.996582,0.001356080524,
729.0003052,3.984033174E-005,729.0003052,0.002224243013,729.0003052,6.50045331E-005,729.0003052,0.007202367764,729.0003052,-0.0004276843974,729.0003052,0.0009345563594,
728.0037842,-0.0002937063982,728.0037842,0.002231242135,728.0037842,-0.0002894122154,728.0037842,0.007072819397,728.0037842,-0.0001753161632,728.0037842,0.0009765580762,
727.0068359,-3.375398956E-005,727.0068359,0.002498854883,727.0068359,-4.219207767E-005,727.0068359,0.007209684234,727.0068359,-4.00696299E-005,727.0068359,0.001255210722,
726.0096436,-3.80507081E-005,726.0096436,0.002439055825,726.0096436,-0.0002954654628,726.0096436,0.007044877857,726.0096436,-2.246843906E-005,726.0096436,0.001103106537,
725.0120239,-0.0002111781505,725.0120239,0.002486670623,725.0120239,-7.759920118E-005,725.0120239,0.007213763893,725.0120239,-0.0001868047402,725.0120239,0.0009389664629,
724.0140991,-0.0001414696599,724.0140991,0.002451238921,724.0140991,0.0001625684235,724.0140991,0.007059190422,724.0140991,-1.258039811E-005,724.0140991,0.0009910352528,
723.0157471,-0.000100167148,723.0157471,0.002340875333,723.0157471,1.190770854E-005,723.0157471,0.007320423611,723.0157471,-0.0001377432782,723.0157471,0.0009809945477,
722.0172119,-0.0001174546414,722.0172119,0.002364325104,722.0172119,8.097886166E-005,722.0172119,0.007151338272,722.0172119,0.0002132232767,722.0172119,0.001171884243,
720.9824829,-0.0001787834626,720.9824829,0.002405137988,720.9824829,-0.0001182310079,720.9824829,0.007272644434,720.9824829,0.0001692495571,720.9824829,0.001097890316,
719.9832153,-2.981961188E-005,719.9832153,0.002650589449,719.9832153,5.67975294E-005,719.9832153,0.007297257427,719.9832153,0.0001330742671,719.9832153,0.001217621029,
718.9835815,-3.830954302E-005,718.9835815,0.00258280104,718.9835815,-0.00015502928,718.9835815,0.007250454742,718.9835815,8.470714965E-005,718.9835815,0.00129716564,
717.9835815,-0.0002101432183,717.9835815,0.002470711712,717.9835815,3.217744961E-005,717.9835815,0.007253929041,717.9835815,0.0001156998042,717.9835815,0.001142892521,
716.9832153,3.02099761E-005,716.9832153,0.00231269002,716.9832153,5.278469689E-005,716.9832153,0.007503454108,716.9832153,-3.313277557E-005,716.9832153,0.001043395605,
715.9825439,1.035451078E-005,715.9825439,0.002640666673,715.9825439,-2.795594628E-005,715.9825439,0.007380003575,715.9825439,8.664897905E-005,715.9825439,0.001092154998,
715.0172729,-0.0002208029473,715.0172729,0.002425051061,715.0172729,0.0001389263198,715.0172729,0.007515674923,715.0172729,0.0001672037615,715.0172729,0.00103729777,
714.0159302,-0.0001310667576,714.0159302,0.002749152714,714.0159302,0.0002037185768,714.0159302,0.007909630425,714.0159302,0.0001626720041,714.0159302,0.001275798189,
713.0142822,-0.0002654053678,713.0142822,0.002525125397,713.0142822,-5.694539504E-005,713.0142822,0.007539300248,713.0142822,-7.734038809E-005,713.0142822,0.001047261874,
712.012207,-0.0001840619952,712.012207,0.002494767541,712.012207,-7.164644921E-005,712.012207,0.007397565525,712.012207,0.0001905625249,712.012207,0.001257884782,
711.0098267,9.685020632E-005,711.0098267,0.002637619385,711.0098267,0.0001228204055,711.0098267,0.007817031816,711.0098267,0.000235911124,711.0098267,0.001194129116,
710.0072021,7.248131624E-006,710.0072021,0.002744541969,710.0072021,7.481688954E-005,710.0072021,0.007564244326,710.0072021,0.0002457014343,710.0072021,0.001005642582,
709.0041504,3.173735604E-005,709.0041504,0.002653636737,709.0041504,4.3128166E-005,709.0041504,0.00775586348,709.0041504,0.0002320002386,709.0041504,0.001192623517,
708.0007935,8.328314289E-005,708.0007935,0.002687808592,708.0007935,0.0002258102177,708.0007935,0.007988775149,708.0007935,0.0003733325284,708.0007935,0.001158698928,
706.9970703,-0.0003124347713,706.9970703,0.002400738886,706.9970703,4.387893205E-005,706.9970703,0.007740684319,706.9970703,0.0001048767226,706.9970703,0.0009719399968,
705.993103,1.183004861E-005,705.993103,0.002667570719,705.993103,-0.0001916691836,705.993103,0.007421343122,705.993103,0.0003122711205,705.993103,0.001330010593,
704.9887085,-0.000303691515,704.9887085,0.002641083207,704.9887085,-4.084613829E-005,704.9887085,0.007820958272,704.9887085,7.476511382E-005,704.9887085,0.001039010356,
703.9840088,-0.000229754849,703.9840088,0.002732793335,703.9840088,0.0001049543935,703.9840088,0.008180027828,703.9840088,0.0003281768295,703.9840088,0.001201033709,
703.0148926,-0.0003971162369,703.0148926,0.002492424333,703.0148926,5.837678327E-005,703.0148926,0.00813320931,703.0148926,0.0002489390317,703.0148926,0.001010520384,
702.0095215,-0.0001024963422,702.0095215,0.002638530917,702.0095215,-2.99749172E-005,702.0095215,0.008021629415,702.0095215,0.0001601601252,702.0095215,0.001176893828,
701.0038452,-0.0001748504001,701.0038452,0.002568999771,701.0038452,-0.0001164712376,701.0038452,0.008103854023,701.0038452,0.0002079140831,701.0038452,0.0009785817238,
699.9978027,-0.000382633094,699.9978027,0.002576265018,699.9978027,-0.00027202809,699.9978027,0.007943375036,699.9978027,0.0003655860492,699.9978027,0.001204615925,
698.9914551,2.666262844E-006,698.9914551,0.002646135865,698.9914551,4.447437095E-005,698.9914551,0.008376510814,698.9914551,7.251265197E-005,698.9914551,0.001098980196,
697.9848022,2.09422542E-005,697.9848022,0.002747511491,697.9848022,-0.0003434227547,697.9848022,0.007707403973,697.9848022,0.0004406732623,697.9848022,0.000936605793,
697.0137329,4.778812581E-005,697.0137329,0.002699972596,697.0137329,-0.0001032209766,697.0137329,0.008053352125,697.0137329,0.0002545077296,697.0137329,0.001267049112,
696.0064697,-5.575479736E-005,696.0064697,0.002810661914,696.0064697,-0.0001263569138,696.0064697,0.008281410672,696.0064697,0.0001089418147,696.0064697,0.001143177971,
694.9987793,4.434492803E-005,694.9987793,0.00257342658,694.9987793,0.0002125758183,694.9987793,0.00809021946,694.9987793,-4.540161535E-005,694.9987793,0.0009716805653,
693.9908447,-0.0002579546999,693.9908447,0.00256931223,693.9908447,-0.000127650841,693.9908447,0.008182112128,693.9908447,0.0001021062635,693.9908447,0.0009929292137,
692.9825439,-0.0001347414509,692.9825439,0.00267340499,692.9825439,-0.0004325978516,692.9825439,0.00805556681,692.9825439,6.919870793E-005,692.9825439,0.0008801080985,
692.0098877,-0.0002158870775,692.0098877,0.00260842545,692.0098877,-3.675791959E-006,692.0098877,0.008209994063,692.0098877,0.000263987662,692.0098877,0.0007983058458,
691.0009155,7.287511835E-005,691.0009155,0.003127203556,691.0009155,8.069405885E-005,691.0009155,0.008332705125,691.0009155,8.367151167E-005,691.0009155,0.0009969506646,
689.9916382,3.652663872E-005,689.9916382,0.002772442298,689.9916382,0.000117279269,689.9916382,0.008200603537,689.9916382,6.604012742E-005,689.9916382,0.001094231149,
688.9821167,6.464207399E-005,688.9821167,0.002931699855,688.9821167,0.0001588135638,688.9821167,0.008405593224,688.9821167,-8.986678586E-005,688.9821167,0.0009728739969,
688.0081787,-6.92653266E-005,688.0081787,0.002689371351,688.0081787,-2.459097414E-005,688.0081787,0.008133498952,688.0081787,0.000381364167,688.0081787,0.0008548187907,
686.9979248,9.783409041E-005,686.9979248,0.002847321564,686.9979248,-4.172617628E-005,686.9979248,0.00807853695,686.9979248,0.0001160105166,686.9979248,0.001253964612,
685.9873657,0.0003698608489,685.9873657,0.002926539863,685.9873657,-5.601362136E-005,685.9873657,0.007990383543,685.9873657,0.0005645514466,685.9873657,0.001288545784,
685.0126343,-0.0002609039366,685.0126343,0.002970741363,685.0126343,-0.0002080215927,685.0126343,0.007582024671,685.0126343,0.0001001384662,685.0126343,0.001142036053,
684.0014038,7.76579725E-007,684.0014038,0.002981245285,684.0014038,-0.0001133657424,684.0014038,0.008108574897,684.0014038,0.0002930762421,684.0014038,0.001089949161,
682.9898682,0.0001980469242,682.9898682,0.002906447276,682.9898682,1.905248973E-005,682.9898682,0.007948647253,682.9898682,0.0003970910329,682.9898682,0.00140539452,
682.0141602,-0.0002095222444,682.0141602,0.002920207102,682.0141602,-8.355186583E-005,682.0141602,0.008033257909,682.0141602,0.0001536603959,682.0141602,0.001188574242,
681.0020142,-3.924135672E-005,681.0020142,0.002982365899,681.0020142,-2.350382238E-005,681.0020142,0.008016751148,681.0020142,0.0001542300888,681.0020142,0.0009959647432,
679.989502,3.875302355E-005,679.989502,0.002852116013,679.989502,-0.0001092768071,679.989502,0.00805184897,679.989502,0.0002422307734,679.989502,0.001171546872,
679.0128784,-0.0002115921234,679.0128784,0.002695205854,679.0128784,4.395659926E-005,679.0128784,0.007976778783,679.0128784,0.0003249645524,679.0128784,0.0009131809347,
677.9997559,-0.0003001734731,677.9997559,0.002737847157,677.9997559,0.0004375119752,677.9997559,0.008405118249,677.9997559,0.0002061788982,677.9997559,0.0009043612517,
676.9863281,0.0001605485595,676.9863281,0.002798468806,676.9863281,0.0002705408551,676.9863281,0.007933066227,676.9863281,0.0002696860756,676.9863281,0.001190624898,
676.0087891,0.0001568196167,676.0087891,0.002628374146,676.0087891,7.372949767E-005,676.0087891,0.00800857693,676.0087891,0.0001204900109,676.0087891,0.0009470864316,
674.9946899,3.7251506E-005,674.9946899,0.003021047218,674.9946899,-1.8430419E-005,674.9946899,0.007739603985,674.9946899,0.0002961069695,674.9946899,0.001089482103,
674.0166016,-9.87178646E-005,674.0166016,0.00292943255,674.0166016,0.000252357946,674.0166016,0.008041379973,674.0166016,3.523223131E-005,674.0166016,0.001183123328,
673.0018921,-8.665757923E-005,673.0018921,0.002921510022,673.0018921,9.024786414E-005,673.0018921,0.007839381695,673.0018921,0.0002432408946,673.0018921,0.001308200182,
671.9868774,0.0001444159425,671.9868774,0.003248851281,671.9868774,-0.0001136245337,671.9868774,0.007889912464,671.9868774,0.0006134645664,671.9868774,0.001427339623,
671.0078125,-0.0002896191727,671.0078125,0.00316232536,671.0078125,0.000105265106,671.0078125,0.008068013936,671.0078125,0.0003555598669,671.0078125,0.00111836649,
669.9921875,-0.0001427635289,669.9921875,0.002896779217,669.9921875,0.0001050320716,669.9921875,0.007890017703,669.9921875,0.0002011805627,669.9921875,0.001357326983,
669.0124512,0.0004103310639,669.0124512,0.002939283848,669.0124512,0.0002631588141,669.0124512,0.008243445307,669.0124512,0.0003117789456,669.0124512,0.001263362588,
667.9962158,-0.0002693893621,667.9962158,0.003037078539,667.9962158,7.921178621E-006,667.9962158,0.007877390832,667.9962158,0.0001071811348,667.9962158,0.0008233065601,
667.0159912,4.812468251E-005,667.0159912,0.003446298419,667.0159912,0.0002458568488,667.0159912,0.007937178947,667.0159912,0.0003411816142,667.0159912,0.001175154699,
665.9991455,5.74706537E-005,665.9991455,0.003316795919,665.9991455,3.727739386E-005,665.9991455,0.008322598413,665.9991455,0.0004910755088,665.9991455,0.001182837877,
664.9818726,0.0001878692128,664.9818726,0.003164594062,664.9818726,-0.0002818584908,664.9818726,0.007993600331,664.9818726,0.0004113933828,664.9818726,0.001190806506,
