,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.5,1.77,2.489
2,3.0,-8.3,3.68,8.531
3,4.0,-8.3,2.022,3.969
4,5.0,-8.2,3.57,6.091
5,6.0,-8.1,4.149,6.655
6,7.0,-8.0,2.927,5.301
7,8.0,-7.9,2.967,5.463
8,9.0,-7.7,4.183,8.993
