,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.4,3.74,8.726
2,3.0,-8.4,3.354,5.862
3,4.0,-8.3,4.461,7.058
4,5.0,-8.1,2.341,4.409
5,6.0,-8.0,4.546,9.452
6,7.0,-8.0,3.669,6.11
7,8.0,-8.0,2.894,5.408
8,9.0,-7.8,4.32,7.056
