,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.6,0.0,0.0
1,2.0,-8.4,2.19,4.145
2,3.0,-8.4,3.521,8.485
3,4.0,-8.3,3.236,5.746
4,5.0,-8.2,4.366,7.138
5,6.0,-8.1,3.0,5.296
6,7.0,-8.0,4.306,9.335
7,8.0,-8.0,4.01,6.59
8,9.0,-7.8,4.36,9.322
