,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.6,1.826,2.551
2,3.0,-8.3,4.559,7.123
3,4.0,-8.3,4.143,8.981
4,5.0,-8.3,2.571,4.819
5,6.0,-8.3,2.22,4.148
6,7.0,-8.2,3.14,5.59
7,8.0,-7.9,3.282,5.596
8,9.0,-7.8,3.56,8.041
