,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.2,0.0,0.0
1,2.0,-9.1,2.242,3.944
2,3.0,-8.7,3.532,5.118
3,4.0,-8.6,4.107,5.992
4,5.0,-8.6,2.097,2.772
5,6.0,-8.5,2.321,3.474
6,7.0,-8.5,2.008,2.99
7,8.0,-8.3,3.085,8.5
8,9.0,-8.2,3.014,4.748
