,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.8,0.0,0.0
1,2.0,-8.7,1.903,2.578
2,3.0,-8.5,2.067,4.013
3,4.0,-8.2,1.548,1.907
4,5.0,-8.1,3.442,8.332
5,6.0,-8.1,2.848,5.425
6,7.0,-8.1,2.62,4.947
7,8.0,-8.1,3.553,6.037
8,9.0,-7.9,3.879,8.798
