,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.8,0.0,0.0
1,2.0,-8.5,3.532,8.452
2,3.0,-8.4,3.407,5.908
3,4.0,-8.4,4.411,6.982
4,5.0,-8.2,4.4,7.333
5,6.0,-8.1,3.111,5.506
6,7.0,-8.1,4.482,9.372
7,8.0,-8.0,3.834,8.66
8,9.0,-7.7,3.509,6.012
