,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.6,0.0,0.0
1,2.0,-8.5,2.689,4.866
2,3.0,-8.5,1.591,2.175
3,4.0,-8.5,4.637,7.131
4,5.0,-8.0,2.395,6.108
5,6.0,-7.9,2.042,4.016
6,7.0,-7.9,4.639,9.591
7,8.0,-7.9,3.84,8.238
8,9.0,-7.8,2.083,4.494
