,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.8,0.0,0.0
1,2.0,-8.4,4.617,7.126
2,3.0,-8.4,2.795,5.021
3,4.0,-8.3,3.478,5.949
4,5.0,-8.2,3.894,6.394
5,6.0,-8.2,4.12,8.924
6,7.0,-8.1,2.56,4.863
7,8.0,-8.0,4.522,7.371
8,9.0,-7.9,4.639,9.464
