,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.5,3.539,8.488
2,3.0,-8.4,4.394,7.025
3,4.0,-8.3,3.355,5.867
4,5.0,-8.1,3.043,5.463
5,6.0,-7.9,4.405,9.377
6,7.0,-7.8,4.516,9.43
7,8.0,-7.6,3.987,6.516
8,9.0,-7.6,2.915,7.688
