,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.3,0.0,0.0
1,2.0,-9.2,2.612,4.368
2,3.0,-8.9,1.68,2.195
3,4.0,-8.7,4.392,6.154
4,5.0,-8.7,3.119,4.776
5,6.0,-8.7,4.462,6.18
6,7.0,-8.7,3.846,5.471
7,8.0,-8.6,3.363,5.199
8,9.0,-8.5,3.35,8.644
