,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.3,0.0,0.0
1,2.0,-9.1,3.315,9.735
2,3.0,-9.1,3.614,10.277
3,4.0,-9.1,4.412,10.716
4,5.0,-8.9,1.996,2.68
5,6.0,-8.7,3.156,9.18
6,7.0,-8.6,2.137,3.105
7,8.0,-8.6,1.922,2.472
8,9.0,-8.5,3.952,10.666
