,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.8,0.0,0.0
1,2.0,-8.7,2.095,4.04
2,3.0,-8.6,1.79,2.456
3,4.0,-8.4,2.647,4.956
4,5.0,-8.4,4.377,6.991
5,6.0,-8.3,3.205,5.731
6,7.0,-8.0,2.319,4.379
7,8.0,-7.9,4.533,9.54
8,9.0,-7.7,3.814,6.267
