,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.9,0.0,0.0
1,2.0,-9.7,1.654,2.003
2,3.0,-9.6,4.35,10.753
3,4.0,-9.3,3.647,10.481
4,5.0,-9.3,2.165,3.109
5,6.0,-9.2,2.807,4.167
6,7.0,-9.2,1.437,1.849
7,8.0,-9.1,2.651,4.378
8,9.0,-9.1,3.741,10.792
