,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.8,0.0,0.0
1,2.0,-8.6,3.442,5.322
2,3.0,-8.4,4.42,6.182
3,4.0,-8.3,4.394,6.28
4,5.0,-8.2,2.203,4.227
5,6.0,-8.2,4.199,5.895
6,7.0,-8.2,3.227,5.003
7,8.0,-8.1,4.54,9.583
8,9.0,-8.0,4.318,9.227
