,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.4,0.0,0.0
1,2.0,-8.3,3.726,9.259
2,3.0,-8.3,1.121,1.943
3,4.0,-8.0,2.527,3.534
4,5.0,-7.8,3.32,5.953
5,6.0,-7.8,2.014,2.46
6,7.0,-7.7,3.749,10.019
7,8.0,-7.5,1.414,2.377
8,9.0,-7.3,3.966,10.1
