,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.5,1.693,2.302
2,3.0,-8.4,3.714,8.724
3,4.0,-8.4,2.724,4.961
4,5.0,-8.3,3.352,5.903
5,6.0,-7.9,2.439,4.554
6,7.0,-7.9,4.493,9.479
7,8.0,-7.8,2.248,4.195
8,9.0,-7.8,3.79,6.579
