,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.6,0.0,0.0
1,2.0,-8.5,3.567,8.429
2,3.0,-8.4,1.805,2.498
3,4.0,-8.3,2.751,5.025
4,5.0,-8.3,3.409,5.859
5,6.0,-8.3,2.058,4.026
6,7.0,-8.0,3.57,6.196
7,8.0,-8.0,1.908,3.96
8,9.0,-7.9,4.537,7.179
