,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.1,0.0,0.0
1,2.0,-9.0,3.618,10.3
2,3.0,-8.9,3.577,10.034
3,4.0,-8.8,3.877,10.711
4,5.0,-8.7,2.062,2.691
5,6.0,-8.6,1.717,2.35
6,7.0,-8.5,3.161,4.812
7,8.0,-8.5,3.778,8.43
8,9.0,-8.5,3.854,7.195
