,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.4,0.0,0.0
1,2.0,-9.4,4.435,6.208
2,3.0,-9.3,4.431,6.15
3,4.0,-9.1,1.672,2.223
4,5.0,-8.8,2.372,3.838
5,6.0,-8.7,3.256,5.046
6,7.0,-8.4,3.15,8.22
7,8.0,-8.4,2.951,4.713
8,9.0,-8.3,4.053,9.414
