,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.7,0.0,0.0
1,2.0,-8.5,3.677,8.609
2,3.0,-8.4,2.781,5.044
3,4.0,-8.3,3.357,5.866
4,5.0,-8.3,4.481,7.031
5,6.0,-8.2,4.021,8.972
6,7.0,-8.1,3.062,5.359
7,8.0,-8.1,2.981,7.783
8,9.0,-8.0,4.501,9.444
