,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-9.9,0.0,0.0
1,2.0,-9.6,1.881,2.203
2,3.0,-9.5,4.635,7.147
3,4.0,-9.3,3.965,10.822
4,5.0,-9.2,2.039,2.988
5,6.0,-8.8,4.582,10.774
6,7.0,-8.7,1.954,2.611
7,8.0,-8.6,3.452,5.452
8,9.0,-8.5,4.937,10.722
