,mode,affinity (kcal/mol),dist from best mode - rmsd - ub,dist from best mode - lb
0,1.0,-8.9,0.0,0.0
1,2.0,-8.7,1.841,2.485
2,3.0,-8.7,2.106,4.042
3,4.0,-8.5,3.584,8.481
4,5.0,-8.4,2.705,4.952
5,6.0,-8.3,3.118,5.565
6,7.0,-8.1,2.353,4.209
7,8.0,-8.1,4.399,7.025
8,9.0,-8.0,3.201,5.553
